"TripSetNo","TripSetPredNo","Date","Quarter","Year","Lat","Lon","SST","PredSpp","Length","Fullness","Family","PropW"
23,2330,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1008,80,"Ommastrephidae",0.996866042
23,2331,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1083,50,"Galatheidae",0.217533646
23,2331,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1083,50,"Ommastrephidae",0.782466354
23,2332,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",991,50,"Ommastrephidae",1
23,2333,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",646,20,"Galatheidae",0.0257
23,2333,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",646,20,"Ommastrephidae",0.974308301
23,2334,"9/09/2003",3,2003,24.25,-112.32,25.83333,"Thunnus albacares",1073,90,"Ommastrephidae",1
24,2435,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",853,50,"Scombridae",1
24,2436,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",667,5,"Phosichthyidae",1
24,2437,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",756,5,"Galatheidae",0.15817223
24,2437,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",756,5,"Ommastrephidae",0.84182777
24,2438,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",882,5,"Galatheidae",1
24,2439,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",732,10,"Ommastrephidae",1
24,2440,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",673,10,"Galatheidae",1
24,2441,"9/23/2003",3,2003,12.57,-115.55,28.05556,"Thunnus albacares",551,10,"Ommastrephidae",1
35,3542,"9/29/2003",3,2003,5.85,-98.1,27.4,"Thunnus albacares",572,10,"Hemiramphidae",1
35,3543,"9/29/2003",3,2003,5.85,-98.1,27.4,"Thunnus albacares",613,1,"Phosichthyidae",1
46,4644,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",794,5,"Phosichthyidae",1
46,4645,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",803,10,"Galatheidae",1
46,4646,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",709,10,"Galatheidae",1
46,4647,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",962,15,"Galatheidae",0.813397139
46,4647,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",962,15,"Phosichthyidae",0.186602861
46,4648,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",976,10,"Phosichthyidae",1
46,4649,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",901,10,"Phosichthyidae",1
46,4650,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",727,20,"Phosichthyidae",1
46,4651,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",793,10,"Galatheidae",1
46,4652,"9/29/2003",3,2003,12.18,-113.43,27,"Thunnus albacares",780,5,"Galatheidae",1
47,4753,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",755,20,"Phosichthyidae",1
47,4754,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",1098,25,"Phosichthyidae",1
47,4755,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",940,5,"Phosichthyidae",1
47,4756,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",1045,5,"Ostraciidae",1
47,4757,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",749,25,"Phosichthyidae",1
47,4758,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",1228,40,"Phosichthyidae",1
47,4759,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",1050,5,"Phosichthyidae",1
47,4760,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",1058,10,"Ommastrephidae",0.917525774
47,4760,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",1058,10,"Phosichthyidae",0.0825
47,4761,"10/08/2003",4,2003,11.73,-120.73,28.5,"Thunnus albacares",708,5,"Ostraciidae",1
58,5862,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",814,100,"Galatheidae",0.039
58,5862,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",814,100,"Scombridae",0.961042613
58,5863,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",927,100,"Galatheidae",1
58,5864,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",892,100,"Galatheidae",0.120163714
58,5864,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",892,100,"Scombridae",0.879836286
58,5865,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",904,25,"Galatheidae",1
58,5866,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",807,25,"Galatheidae",1
58,5867,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",862,100,"Galatheidae",1
58,5868,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",835,100,"Balistidae",0.185897434
58,5868,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",835,100,"Galatheidae",0.814102566
58,5869,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",843,25,"Galatheidae",1
58,5870,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",481,5,"Galatheidae",1
58,5871,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",890,10,"Galatheidae",0.998657718
58,5871,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",890,10,"Scombridae",0.00134
58,5872,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",864,100,"Galatheidae",1
58,5873,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",850,75,"Galatheidae",0.461077845
58,5873,"10/14/2003",4,2003,11.78,-114.68,28.33333,"Thunnus albacares",850,75,"Scombridae",0.538922155
59,5974,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",934,30,"Galatheidae",0.9998002
59,5974,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",934,30,"Ostraciidae",2e-04
59,5975,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",880,30,"Galatheidae",1
59,5976,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",896,30,"Galatheidae",1
59,5977,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",857,50,"Galatheidae",1
59,5978,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",839,70,"Galatheidae",1
59,5979,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",860,30,"Galatheidae",1
59,5980,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",857,30,"Galatheidae",1
59,5981,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",583,50,"Galatheidae",1
59,5982,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",500,70,"Galatheidae",1
59,5983,"10/21/2003",4,2003,13.75,-113.07,28.61111,"Thunnus albacares",490,70,"Galatheidae",1
510,51084,"10/24/2003",4,2003,10.53,-109.02,27.77778,"Thunnus albacares",521,100,"StomatopodaO",1
511,51185,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",907,10,"Galatheidae",1
511,51186,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",974,10,"Exocoetidae",0.0955
511,51186,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",974,10,"Galatheidae",0.904545458
511,51187,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",649,10,"Galatheidae",1
511,51188,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",650,20,"Galatheidae",1
511,51189,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",632,20,"Exocoetidae",0.000616
511,51189,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",632,20,"Galatheidae",0.999384236
511,51190,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",514,15,"Galatheidae",1
511,51191,"10/27/2003",4,2003,11.35,-113,28.05556,"Thunnus albacares",480,10,"Galatheidae",1
612,61292,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",920,15,"Galatheidae",1
612,61293,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",840,10,"Galatheidae",1
612,61294,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",830,30,"Galatheidae",1
612,61295,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",920,70,"Galatheidae",1
612,61296,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",800,30,"Exocoetidae",0.0155
612,61296,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",800,30,"Galatheidae",0.98454604
612,61297,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",770,70,"Galatheidae",0.793185516
612,61297,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",770,70,"Ommastrephidae",0.206814484
612,61298,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",900,10,"Galatheidae",1
612,61299,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",850,40,"Galatheidae",1
612,612100,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",720,70,"Galatheidae",1
612,612101,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",770,30,"Galatheidae",1
612,612102,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",800,30,"Galatheidae",1
612,612103,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",960,20,"Galatheidae",1
612,612104,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",830,30,"Galatheidae",1
612,612105,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",580,30,"Galatheidae",1
612,612106,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",565,70,"Galatheidae",1
612,612107,"9/24/2003",3,2003,13.65,-113.73,28.88889,"Thunnus albacares",470,70,"Galatheidae",1
613,613108,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",830,40,"Phosichthyidae",1
613,613109,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",900,40,"Balistidae",0.495710193
613,613109,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",900,40,"Tetraodontidae",0.504289807
613,613110,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",750,60,"Argonautidae",0.0327
613,613110,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",750,60,"Phosichthyidae",0.967289718
613,613111,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",711,60,"Argonautidae",0.012
613,613111,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",711,60,"Exocoetidae",0.0109
613,613111,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",711,60,"Phosichthyidae",0.977142858
613,613112,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",862,40,"Phosichthyidae",1
613,613113,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",820,40,"Phosichthyidae",1
613,613114,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",700,100,"Scombridae",1
613,613115,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",652,50,"Argonautidae",0.0313
613,613115,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",652,50,"Ostraciidae",0.0309
613,613115,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",652,50,"Phosichthyidae",0.937762504
613,613116,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",660,70,"Argonautidae",1
613,613117,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",596,70,"Argonautidae",0.00526
613,613117,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",596,70,"Ommastrephidae",0.0099
613,613117,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",596,70,"Phosichthyidae",0.984843799
613,613118,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",755,50,"Argonautidae",0.00828
613,613118,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",755,50,"Phosichthyidae",0.991719745
613,613119,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",730,50,"Ommastrephidae",0.0938
613,613119,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",730,50,"Phosichthyidae",0.906249999
613,613120,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",651,60,"Phosichthyidae",1
613,613121,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",640,30,"Phosichthyidae",1
613,613122,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",710,50,"Argonautidae",0.5
613,613122,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",710,50,"Phosichthyidae",0.5
613,613123,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",600,40,"Argonautidae",0.0178
613,613123,"10/07/2003",4,2003,11.18,-119.18,28.33333,"Thunnus albacares",600,40,"Phosichthyidae",0.982179576
614,614124,"10/27/2003",4,2003,21.65,-110.68,26.77778,"Thunnus albacares",970,80,"Exocoetidae",0.0865
614,614124,"10/27/2003",4,2003,21.65,-110.68,26.77778,"Thunnus albacares",970,80,"Galatheidae",0.913502109
614,614125,"10/27/2003",4,2003,21.65,-110.68,26.77778,"Thunnus albacares",1020,15,"Exocoetidae",1
614,614126,"10/27/2003",4,2003,21.65,-110.68,26.77778,"Thunnus albacares",1010,100,"Balistidae",0.266393452
614,614126,"10/27/2003",4,2003,21.65,-110.68,26.77778,"Thunnus albacares",1010,100,"Exocoetidae",0.733606548
614,614127,"10/27/2003",4,2003,21.65,-110.68,26.77778,"Thunnus albacares",974,25,"Galatheidae",0.0913
614,614127,"10/27/2003",4,2003,21.65,-110.68,26.77778,"Thunnus albacares",974,25,"Hemiramphidae",0.908675798
614,614128,"10/27/2003",4,2003,21.65,-110.68,26.77778,"Thunnus albacares",951,20,"Galatheidae",1
614,614129,"10/27/2003",4,2003,21.65,-110.68,26.77778,"Thunnus albacares",971,70,"Galatheidae",1
614,614130,"10/27/2003",4,2003,21.65,-110.68,26.77778,"Thunnus albacares",955,40,"Hemiramphidae",1
614,614131,"10/27/2003",4,2003,21.65,-110.68,26.77778,"Thunnus albacares",979,75,"Galatheidae",1
614,614132,"10/27/2003",4,2003,21.65,-110.68,26.77778,"Thunnus albacares",842,15,"Galatheidae",1
614,614133,"10/27/2003",4,2003,21.65,-110.68,26.77778,"Thunnus albacares",884,75,"Balistidae",0.0798
614,614133,"10/27/2003",4,2003,21.65,-110.68,26.77778,"Thunnus albacares",884,75,"Hemiramphidae",0.920237308
715,715134,"4/09/2004",2,2004,7.48,-79.65,25,"Thunnus albacares",618,25,"Portunidae",1
716,716135,"4/24/2004",2,2004,7.8,-79.27,25.7,"Thunnus albacares",956,25,"Octopodidae",0.533333331
716,716135,"4/24/2004",2,2004,7.8,-79.27,25.7,"Thunnus albacares",956,25,"Portunidae",0.466666669
716,716136,"4/24/2004",2,2004,7.8,-79.27,25.7,"Thunnus albacares",951,50,"Portunidae",1
716,716137,"4/24/2004",2,2004,7.8,-79.27,25.7,"Thunnus albacares",963,75,"BivalviaC",0.246478877
716,716137,"4/24/2004",2,2004,7.8,-79.27,25.7,"Thunnus albacares",963,75,"Octopodidae",0.605633804
716,716137,"4/24/2004",2,2004,7.8,-79.27,25.7,"Thunnus albacares",963,75,"Portunidae",0.147887319
716,716138,"4/24/2004",2,2004,7.8,-79.27,25.7,"Thunnus albacares",600,25,"Portunidae",1
716,716139,"4/24/2004",2,2004,7.8,-79.27,25.7,"Thunnus albacares",632,25,"Ommastrephidae",0.75
716,716139,"4/24/2004",2,2004,7.8,-79.27,25.7,"Thunnus albacares",632,25,"Portunidae",0.25
716,716140,"4/24/2004",2,2004,7.8,-79.27,25.7,"Thunnus albacares",593,50,"Penaeidae",0.0714
716,716140,"4/24/2004",2,2004,7.8,-79.27,25.7,"Thunnus albacares",593,50,"Portunidae",0.928571429
716,716141,"4/24/2004",2,2004,7.8,-79.27,25.7,"Thunnus albacares",574,25,"BivalviaC",0.375000006
716,716141,"4/24/2004",2,2004,7.8,-79.27,25.7,"Thunnus albacares",574,25,"Portunidae",0.624999994
716,716142,"4/24/2004",2,2004,7.8,-79.27,25.7,"Thunnus albacares",610,50,"BivalviaC",1
717,717143,"4/27/2004",2,2004,7.57,-78.67,26.6,"Thunnus albacares",632,100,"Myctophidae",1
717,717144,"4/27/2004",2,2004,7.57,-78.67,26.6,"Thunnus albacares",646,75,"Myctophidae",1
717,717145,"4/27/2004",2,2004,7.57,-78.67,26.6,"Thunnus albacares",666,75,"Myctophidae",1
717,717146,"4/27/2004",2,2004,7.57,-78.67,26.6,"Thunnus albacares",660,75,"Myctophidae",1
717,717147,"4/27/2004",2,2004,7.57,-78.67,26.6,"Thunnus albacares",658,75,"Myctophidae",1
717,717148,"4/27/2004",2,2004,7.57,-78.67,26.6,"Thunnus albacares",665,100,"Myctophidae",1
717,717149,"4/27/2004",2,2004,7.57,-78.67,26.6,"Thunnus albacares",630,75,"Myctophidae",1
717,717150,"4/27/2004",2,2004,7.57,-78.67,26.6,"Thunnus albacares",635,75,"Myctophidae",1
818,818151,"3/14/2004",1,2004,9.55,-103.22,27.94444,"Thunnus albacares",729,30,"Portunidae",1
818,818152,"3/14/2004",1,2004,9.55,-103.22,27.94444,"Thunnus albacares",792,10,"Portunidae",1
818,818153,"3/14/2004",1,2004,9.55,-103.22,27.94444,"Thunnus albacares",632,25,"Portunidae",1
818,818154,"3/14/2004",1,2004,9.55,-103.22,27.94444,"Thunnus albacares",549,15,"Ommastrephidae",1
818,818155,"3/14/2004",1,2004,9.55,-103.22,27.94444,"Thunnus albacares",539,20,"Argonautidae",1
818,818156,"3/14/2004",1,2004,9.55,-103.22,27.94444,"Thunnus albacares",480,20,"Ommastrephidae",1
819,819157,"3/15/2004",1,2004,13.4,-101.77,28.61111,"Thunnus albacares",689,50,"Hemiramphidae",1
819,819158,"3/15/2004",1,2004,13.4,-101.77,28.61111,"Thunnus albacares",736,80,"Galatheidae",1
819,819159,"3/15/2004",1,2004,13.4,-101.77,28.61111,"Thunnus albacares",651,50,"Gempylidae",1
819,819160,"3/15/2004",1,2004,13.4,-101.77,28.61111,"Thunnus albacares",516,50,"Phosichthyidae",1
819,819161,"3/15/2004",1,2004,13.4,-101.77,28.61111,"Thunnus albacares",681,100,"Tetraodontidae",1
819,819162,"3/15/2004",1,2004,13.4,-101.77,28.61111,"Thunnus albacares",557,30,"Phosichthyidae",1
820,820163,"3/16/2004",1,2004,16.12,-101.53,28.38889,"Thunnus albacares",687,90,"Squillidae",1
820,820164,"3/16/2004",1,2004,16.12,-101.53,28.38889,"Thunnus albacares",736,30,"Exocoetidae",1
820,820165,"3/16/2004",1,2004,16.12,-101.53,28.38889,"Thunnus albacares",482,30,"Squillidae",1
820,820166,"3/16/2004",1,2004,16.12,-101.53,28.38889,"Thunnus albacares",521,25,"Ommastrephidae",1
821,821167,"3/19/2004",1,2004,14.63,-97.73,28.94444,"Thunnus albacares",703,50,"Argonautidae",1
821,821168,"3/19/2004",1,2004,14.63,-97.73,28.94444,"Thunnus albacares",694,50,"Argonautidae",1
821,821169,"3/19/2004",1,2004,14.63,-97.73,28.94444,"Thunnus albacares",669,30,"Argonautidae",1
821,821170,"3/19/2004",1,2004,14.63,-97.73,28.94444,"Thunnus albacares",675,50,"Argonautidae",0.646048111
821,821170,"3/19/2004",1,2004,14.63,-97.73,28.94444,"Thunnus albacares",675,50,"Ommastrephidae",0.353951889
821,821171,"3/19/2004",1,2004,14.63,-97.73,28.94444,"Thunnus albacares",721,70,"Argonautidae",1
821,821172,"3/19/2004",1,2004,14.63,-97.73,28.94444,"Thunnus albacares",669,60,"Ommastrephidae",1
821,821173,"3/19/2004",1,2004,14.63,-97.73,28.94444,"Thunnus albacares",532,40,"Argonautidae",1
821,821174,"3/19/2004",1,2004,14.63,-97.73,28.94444,"Thunnus albacares",499,15,"Argonautidae",1
821,821175,"3/19/2004",1,2004,14.63,-97.73,28.94444,"Thunnus albacares",534,5,"Argonautidae",1
